source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
1858278662184075392,312.40474829619956,29.733966378422387,1.7376756788612322,0.013907743,-2.829390349949863,0.010094921,-4.875868550986554,0.013589178,22.730394,15.945682,12.97493,13.3476,12.4605055
1858278730903546240,312.4407908207562,29.75009296771866,1.3314926917804621,0.071577035,-9.315730124101256,0.048947062,-18.236121889915857,0.0640401,,,17.266445,18.176294,16.338507
1858279967854163456,312.35038547829413,29.779416026139323,1.4658202228474626,0.021255651,-5.461436445776485,0.01506583,-9.68379261481325,0.020404497,23.083033,2.6528099,14.077724,14.446878,13.506835
1858294124066442240,312.18070829745886,29.824850402180928,1.897300417607994,0.018747227,-8.683226629877279,0.014332404,1.2055694155377368,0.01789901,9.1360445,4.400867,14.580093,15.016648,13.964452
1858297452652744064,312.1937684017681,29.96083888221086,1.4923120481407797,0.029187026,14.988027310585894,0.021500343,-16.366680239758246,0.028253067,,,15.496025,15.998828,14.834555
1858595424607683328,313.12836175288487,29.744670875004534,1.196804730117858,0.10680041,-10.71283958668087,0.06765963,-15.455702366939308,0.09128786,,,17.88295,18.857437,16.858828
1858603739664291712,312.6910945905268,29.694499481836967,1.5010397706841818,0.081672,6.871272580736239,0.05432446,-7.040831967422481,0.077573925,,,17.466097,18.540234,16.442019
1858609786978409088,312.94895976231,29.86253929755175,2.598886070104461,0.013019561,-2.7996331205156455,0.008271733,-0.2506485514752477,0.010797082,11.29472,1.4446834,13.079072,13.44633,12.544181
1858610268015028736,312.80394316123983,29.785679285770925,1.2095825638383164,0.013159797,2.030840778406605,0.0085627,-1.3728980859607738,0.011808887,-39.95508,2.4770565,13.25308,13.618734,12.716041
1858612329599064064,312.88297975872354,29.844635285957786,1.6549375016950254,0.07768377,-6.348590457101384,0.0516809,-12.531453011058774,0.066763036,,,17.371506,18.48182,16.341658
1858614283798092032,312.87570927189296,29.9699322337003,1.2175269890956373,0.083311945,-4.9790176346731965,0.058234982,-1.3000542394112093,0.066331044,,,17.490858,18.430557,16.54268
1858617998956796160,313.3096282783044,29.83107390460345,1.3724316038630917,0.10416796,4.478228843697624,0.06124203,-5.104933743610646,0.087661415,,,17.715696,18.826468,16.669697
1858627550964051456,313.5174752373062,30.060737225650254,2.35265272287654,0.07908499,-51.42402405549154,0.051928006,-32.964636246249825,0.06829603,,,17.494843,18.72151,16.257618
1858628032000554112,313.302665912553,29.968205705986545,1.6195613709319532,0.054323293,-11.453088528167026,0.038706824,-11.854596713133537,0.044266656,,,16.68951,17.542564,15.793509
1858628135079756160,313.31703714469404,29.972539143314943,1.6675386610650582,0.11816635,11.292764818264667,0.082437016,23.76707156964893,0.09688771,,,17.40473,18.522459,16.262587
