source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,A_v,E_bp_rp
1858279070190312192,312.4123014225466,29.769768531975263,2.722323067285989,0.01086703,-8.370689122403018,0.007542281,-16.69323047583248,0.010600141,-10.747715,12.411742,12.745748,11.918035,0.6333300000000001,0.2735577
1858279727335986176,312.35936173531496,29.764969063292156,1.387585766678078,0.031897705,-21.50171892014105,0.022136828,-14.589134849678452,0.029926961,,15.666455,16.270332,14.926171,0.65627,0.2834663
1858291547086031488,312.24570471086554,29.79015567671504,1.6372701232104283,0.01959903,-9.528702917696414,0.013989685,-2.2557783961608746,0.018179582,4.824102,13.491101,13.851686,12.954322,0.7520600000000001,0.3248414
1858296597967615744,312.2419424672293,29.93249948242407,1.853306350310452,0.16552709,-1.0612750675821996,0.106287085,-2.941238554204814,0.15857078,,17.076317,17.639673,16.280697,0.6696,0.289224
1858532511929593984,313.6415576066265,30.034052888868043,1.3870298128188423,0.023516256,12.23327135682038,0.016295388,16.483003412702345,0.022256162,23.102709,12.08952,12.271462,11.780491,0.42904,0.1853176
1858594428180165120,312.9717238699252,29.704677646200658,1.5885981949159749,0.2231357,-7.175369167358722,0.15541242,-3.748666985748491,0.19697802,,17.55406,17.89398,16.840054,0.43276000000000003,0.1869244
1858605560730980352,312.72035615702293,29.8107341775325,1.4649361302748547,0.013826131,-9.277451654562052,0.00972146,-1.6988659399939898,0.01384725,11.479223,9.841544,10.342133,9.180095,0.49723999999999996,0.21477559999999998
1858607106919077632,312.8111224493521,29.748783556455017,1.2322583324393273,0.02582009,-12.03396140828961,0.018396856,-28.614018115880636,0.025360212,-207.16321,13.4164505,13.665548,13.008306,0.46872,0.2024568
1858608446948568576,313.0349880176626,29.806077324531795,1.741717560837165,0.07241802,-8.371186611191433,0.04972524,12.483303688190304,0.06551901,13.110448,14.398894,14.825198,13.769705,0.44392,0.1917448
1858624183709630720,313.44394169197534,29.918024445462983,2.2637654110324448,0.074190155,12.330072366444194,0.044330724,-8.272495818543707,0.061277054,,17.244816,18.205791,16.257547,0.51677,0.22321129999999997
1858626039135440768,313.5704349209782,29.97723649761863,2.63529839781628,0.034418844,-1.208834608690457,0.021203114,-19.144865923821914,0.028930724,,15.907612,16.827087,14.948159,0.4805,0.207545
