source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
5322966691815416192,129.33896742089522,-49.20276206634817,3.7349547064824944,0.033505514,3.4561488501527995,0.03775802,-15.56649824556187,0.040554278,,,16.085161,17.302328,14.984603
5322971119911900672,129.25994892696923,-49.08679567060476,2.017894577680859,0.10155152,-26.581118955031407,0.11231002,43.93585258124533,0.12308302,,,18.032911,19.15435,16.96989
5322972563027047680,129.18687329758933,-49.007179753368405,2.925881584615289,0.14412694,-27.850435151711032,0.15062512,39.79274928470437,0.1663167,,,18.469856,20.117115,17.258007
5323108563161348224,127.66602389796569,-49.13698028902102,2.5301897968573295,0.2902354,12.396688599540811,0.33626464,-5.885694181633472,0.34502876,,,19.702505,21.177248,18.475775
5323126911273149568,128.74936358873174,-49.24995248412538,2.0759994249697717,0.014091675,-9.056143738037948,0.015561192,7.518717086516627,0.016503,22.667675,0.7896318,10.9072485,11.008913,10.715583
5323143605798680064,128.59577023383855,-49.09157092913368,3.650352438171965,0.53077745,-2.5388459331604585,0.6487041,1.8201127738246075,0.6128615,,,19.801464,20.964865,18.385027
5323145740399537664,128.35657054845794,-49.10142194430768,3.599116843101164,0.6961812,-18.759175110260664,0.85444736,15.579682016853297,1.0019933,,,20.562784,21.783106,19.290985
5323154566559397504,128.7790410983083,-49.112144995347975,2.940617314868233,0.16534847,-6.378197181082511,0.17877415,-0.6682554857540035,0.20096518,,,11.154607,10.813198,10.105763
5323169689139783680,128.84529948133218,-48.932042799864405,2.099168383955038,0.31811842,-13.013632209437725,0.3387296,18.441672544180733,0.3915891,,,19.61983,20.576416,18.26822
5323170543834688512,128.72803500890714,-48.89901221810593,2.1322796764859846,0.042015173,-12.2308066604973,0.048981708,11.82157222490248,0.050095215,,,16.668587,17.818762,15.601665
5323171716372533760,128.55185929902783,-48.932804253411895,3.0570332573068972,0.012904258,-17.877028760580064,0.014770185,-10.552279351767716,0.016769787,25.721216,2.9394076,14.020678,14.581137,13.316164
5323173709237124992,128.6536212122927,-48.87450779952609,3.1390059881219528,0.009785804,8.049112165242526,0.012324729,-12.086696434818695,0.012669509,23.83809,0.43561262,11.4893675,11.812641,11.001408
5323175908250759296,128.8493234444119,-48.87570646458932,2.618292890417815,0.17301498,11.730918602596791,0.18822695,19.672252889583675,0.22069438,,,18.907824,20.558603,17.726639
5323178931917447552,128.9568484151873,-48.75698094161366,2.003319634795755,0.011565108,-22.328861837044936,0.011942361,32.205947371238935,0.014199887,82.95061,1.7624707,13.149664,13.547487,12.585797
5323181298437410944,128.74403348341528,-48.723476808958495,3.1610745235014632,0.09235849,7.329901961893193,0.095554955,5.719901822999188,0.120310105,,,17.907282,19.263737,16.660305
5323202193461106176,127.83518746836455,-49.07458880907364,2.4865597559515367,0.037178118,-41.17169028634217,0.042188752,12.714754294631426,0.045120943,12.507103,2.639711,14.527644,15.174492,13.755329
5323206724642023936,127.69561519159541,-48.97675273831757,2.5732964337414597,0.17804919,-14.811338808433076,0.18530619,9.584645960712995,0.20217389,,,18.988342,20.638847,17.757984
