source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
5323142235716273024,128.45876659896376,-49.17017051204369,3.243587222362993,0.011753094,-5.387758988416117,0.012702204,7.931790520074715,0.014047105,23.371916,0.6093431,10.941793,11.163276,10.571709
5323158380486337152,129.03124016537404,-49.058733594651954,3.3591664704656474,0.06685718,-16.98689405342573,0.07559983,23.70841518324113,0.07935252,,,17.27243,18.69718,16.101362
5328277470408407040,131.34450018079184,-48.895801242225645,3.314739229732329,0.35536754,11.690465894217414,0.41066012,-30.1947860863661,0.4320973,,,19.784893,21.562906,18.50687
5328281731024045440,131.23078976243676,-48.81436455794334,3.708338489353936,0.47879416,-4.758557474437964,0.57962984,7.62749744079875,0.65489525,,,19.031588,19.63376,17.695286
5328709303608418944,132.64853468924946,-48.033542736629165,3.3850945019387906,0.5796658,-4.213379071176524,0.6678785,11.050553619617595,0.6917579,,,18.959831,19.524336,17.670254
5328766134616859904,133.14001007243516,-47.76836021700206,3.582057143956524,0.011792964,-4.810442473167699,0.012973363,-0.17849523055119187,0.01263493,26.957335,1.6204267,12.93562,13.375445,12.335375
5328836675153408896,132.81019530990457,-47.340997530071206,3.308987119940839,0.51316476,-10.732302580041456,0.49999768,-14.22536963323898,0.6672515,,,20.424456,21.686428,19.213312
5328868045605260928,133.16094675027827,-47.08239949737333,3.2969957894694475,0.57035816,-7.382030955362401,0.5456829,5.607357177117249,0.71959925,,,20.426672,21.176767,18.992615
5328870347700298496,133.26733971865585,-46.9469155784935,3.4044721137989358,0.6145274,-7.078937962679418,0.72805244,13.885663950542252,0.9564234,,,19.750998,20.231106,18.161871
5328913228654773632,130.13530543779956,-49.15441054146855,3.207956093568062,0.024939809,-6.699291056985482,0.030199977,-27.637036042564915,0.029079944,1.9731891,5.9060473,15.140128,15.93462,14.265541
5329026164810499328,130.85705761199065,-48.84249769440684,3.5970816916751,0.054289028,-20.777712600022852,0.06139687,52.179561690030305,0.06589724,,,17.02846,18.410784,15.854152
5329046372628671488,130.7945009499965,-48.50696757684022,3.2674990293802333,0.42710897,-15.297473365599712,0.40507272,18.27059982888262,0.56162506,,,20.07587,21.106348,18.672306
5329073482478087808,131.47458276656977,-48.19818261790633,3.5214533773231733,0.026046775,-48.398646713701254,0.027866561,10.967212823858905,0.025660805,,,15.559553,16.57816,14.551636
5329125056446459136,130.65451292763652,-47.980540030194014,3.317864080743355,0.03352545,6.275168044430039,0.036624376,-17.834137054850153,0.039431497,,,16.134317,17.249928,15.082839
5329126327757175296,130.53677703289958,-48.000211207924444,3.266957787991961,0.02463354,-26.48613238419822,0.027435038,17.004616906405012,0.032275822,,,15.405799,16.292883,14.472331
5329136597005232000,130.9039248566734,-47.935457241610706,3.2319819452524583,0.044793244,-20.471922050693436,0.049549866,15.375567525240367,0.05226763,,,16.706472,17.889887,15.594508
5329146703084071424,131.29507698989104,-47.655472613353105,3.4848907315155957,0.5020375,-0.30010746574035374,0.5495775,4.1224146158742485,0.49129003,,,19.251219,19.570618,18.081415
5329196455980311808,129.44157260729986,-48.26844484583051,3.2195660515008107,0.19689147,-26.926919341869127,0.1978585,40.47619355490574,0.22054946,,,19.071947,20.800344,17.791925
5329206523374905728,129.61055374682283,-48.347479413003285,3.3133573873050226,0.6359506,-5.494304176987646,0.6567603,2.4959478797513954,0.747679,,,20.588734,20.937693,19.720148
5329213464052092160,130.04649654522794,-48.112467260373926,3.7315879990176577,0.024631398,-21.999505352198206,0.028025722,0.02110435330892708,0.026565766,,,15.553649,16.694786,14.487482
5329235213752776448,129.7647576612321,-47.847223578041046,3.6285257426949005,0.2347785,-26.548946503626382,0.2512472,14.371097983572977,0.2289613,,,19.126894,19.995934,17.488615
5329257680724707584,128.9074769047466,-48.096096867509395,3.235957690096361,0.18663476,-13.43588077928598,0.21837507,10.59440742993799,0.22583959,,,19.072716,20.828787,17.79832
5329284348196002816,129.73186917254102,-47.68776776472128,3.6989660617870115,0.60186034,-5.242939145540186,0.64993805,-1.2765886583975123,0.5571452,,,20.057745,20.821022,18.748247
5329320528997516672,130.3540097481486,-47.75128582434225,3.248471511768814,0.025735894,-10.316786809204636,0.029458642,7.227188307826558,0.03219957,,,15.742595,16.721735,14.763632
5329320528997521280,130.3558406106094,-47.75186722447274,3.225196088755019,0.046639625,-10.684042832727892,0.052835423,6.9920028305522814,0.05744133,,,16.763994,17.992353,15.665154
5329341797677223040,130.64782331330616,-47.70375812150152,3.538948986626838,0.011557149,10.678708057579685,0.012844844,-23.81763091907897,0.014735006,-8.416756,0.20977077,9.737947,10.0139675,9.298032
5329352174317819392,130.83580985334416,-47.430708504325075,3.252906556737352,0.056478858,-19.57003248704715,0.061271463,17.738289081240936,0.06861588,,,17.049843,18.39931,15.892978
5329387839727580288,130.1574924862077,-47.44841773895083,3.4292256854443766,0.021586116,-18.070399016901703,0.023816833,12.803897571552586,0.024168035,46.141953,12.1549,15.180285,16.087181,14.237324
5329474593752575488,131.88987957592653,-47.627024386766934,3.2887569194136006,0.14733075,-16.843208939990426,0.17179266,-7.122028476653584,0.21667396,,,18.716747,20.45788,17.480904
5329481092056915072,131.85270571261557,-47.45294113235634,3.440667986309176,0.1004468,-29.717457820274774,0.10990921,8.615827748850428,0.12472712,,,17.965796,19.116728,16.655313
5329481156465890048,131.8877913902025,-47.43914238079579,3.39391086564683,0.12142203,-10.960184231419396,0.13485405,6.106988545501304,0.15747938,,,18.429197,19.943054,17.275028
5329578158313404544,131.62857105911576,-46.87663708870076,3.2186492006203373,0.32128167,-11.9768085912279,0.34095544,11.32683054357025,0.3701399,,,19.348314,,
5329590837060051072,132.81777001702147,-47.17234854035892,3.595521302377849,0.06815261,34.09024241076874,0.078193255,-36.077964081677905,0.07748159,9.211909,2.2095954,13.220661,13.79263,12.485543
5329628083004179968,133.00359130934862,-46.80239190590805,3.6843046885152626,0.7133666,-6.663312208995855,0.71590286,-0.8735958478725363,0.811544,,,20.343307,21.013004,18.941206
5329646186287919744,132.8082653924931,-46.53430768740447,3.3356137377940245,0.06195638,4.098836128455028,0.06414119,-15.618876541678347,0.073493846,,,17.209492,18.461142,16.039934
5329657151355448704,133.11073625036744,-46.24631517285772,3.427769030990092,0.0137652205,-4.621034720822562,0.015066019,-39.60552802811175,0.016817536,0.9728612,2.9889688,14.092713,14.640088,13.3691025
5329698653611817600,132.65113482277383,-46.37907322512389,3.5388004857127404,0.4952099,-6.9466673779224815,0.5664409,6.708414329645867,0.6020449,,,18.40838,19.428778,17.078571
5329716971662804864,132.3338118005129,-46.163819953992984,3.497635689220224,0.014883257,-16.176423358147048,0.015901452,33.85204810612062,0.01694417,60.612297,0.3723348,11.158188,11.546685,10.596261
5329767239946002432,131.51869173507916,-46.79104532666382,3.2561733545562657,0.46528187,-9.821758874970046,0.5792795,28.330705943273326,0.6126032,,,20.137266,21.259048,18.760075
5329780193565831168,131.72773545090084,-46.466629427798026,3.6344520873157755,0.27117005,-32.31637779457711,0.35454524,-11.020850215960998,0.27387413,,,19.356686,19.910088,17.861696
5329830839834356608,130.70873899004488,-46.352300666942334,3.4136202624007614,0.008860256,-36.7653781135533,0.009499877,35.7511634467724,0.008759733,41.19947,0.7753451,12.140018,12.493536,11.62012
5329862519514556416,131.18876680976638,-46.009326708111985,3.686859569324043,0.010942348,-3.5108455281294546,0.011839187,24.16689851437871,0.01235219,-6.9735823,1.902934,13.316764,13.797531,12.677683
5329920754954270720,132.5815671209837,-45.682987585282575,3.726965292369717,0.16114825,-7.929851562960721,0.17644183,-18.472508117501256,0.20028602,,,18.890047,21.041103,17.60877
5329935323484080512,132.42366323237982,-45.51616174112014,3.3547579503287004,0.35305995,-7.592687123696026,0.3650846,4.637426462378894,0.40690926,,,19.861116,21.58628,18.604853
5329984015539828096,132.17726865715917,-45.522692947839715,3.2490996387386932,0.47865707,-9.250324136147775,0.46937013,13.65945774358001,0.48224178,,,20.258947,21.520006,18.898018
5329993391447088000,131.7925949178139,-45.5008042661535,3.267971131829528,0.14479533,-43.639436701973324,0.14569852,23.32247681126666,0.1711879,,,18.743694,20.092089,17.526154
5330005726587034624,132.07791361045776,-45.103503337336655,3.3608572416850095,0.010385902,0.0046470727938991985,0.01123721,-12.31056399241007,0.010288051,1.780801,2.9713707,12.628527,12.995993,12.092169
5330311292039945472,134.0321853273047,-47.00204491273985,3.3162361633476762,0.4579002,-7.598733415559552,0.5625642,-0.535887983775696,0.53777444,,,20.219091,21.543293,18.92572
5330365168113438592,133.96894579001454,-46.75970679712359,3.2613085465151515,0.45302466,-15.40226776841185,0.50924957,1.465116219941831,0.52890563,,,17.97198,18.535118,16.658121
5330381385908443392,133.6743512899224,-46.635431345296446,3.410737776773094,0.019961562,-24.98629211853924,0.022192737,9.568445735308831,0.020873928,15.44959,5.078407,15.092121,15.91418,14.20653
5330401069739321344,134.3463653775899,-46.351277333230065,3.506411097697648,0.064824246,45.34931130539519,0.07406356,-36.831743087530405,0.079912096,,,17.472502,18.774334,16.343988
5330524597294852608,134.5209292978115,-45.72283411513205,3.359534979121598,0.010944253,21.814142379930136,0.01304724,-8.70495028282019,0.012841563,3.3023877,1.8985344,12.614105,12.962952,12.095357
5331157538039797248,133.37733991047548,-46.164624791291814,3.277578574679209,0.011538636,-4.7023080315583226,0.011841573,-7.467223058687783,0.013267642,7.4803424,2.5471249,13.452276,13.927501,12.818771
5331167188826963840,133.33808577093396,-46.03487574457863,3.3782525206967424,0.02980195,-22.387390096953506,0.03155093,12.036892196640093,0.037920974,,,15.728503,16.683414,14.705721
5331216666847768960,133.19946221519956,-45.8824621580093,3.2137499992908682,0.2669543,-3.804704202099335,0.29740217,-4.58438138158564,0.2789576,,,19.428984,20.945868,18.157785
5331283054156678912,134.14919288964828,-45.536521959947045,3.225738918166817,0.46816114,-15.302175492508828,0.5518773,19.511132663412987,0.53145075,,,20.262346,21.360867,18.991425
5331285867360272512,134.4071584909729,-45.555050324431306,3.774652286692357,0.092909664,-20.030556143733453,0.106892824,-63.471788690021086,0.11758595,,,17.978752,19.344067,16.830317
5331479553206795264,133.1322349751773,-44.919892860165724,3.6188118257161017,0.011540296,21.708746343058422,0.012211166,1.714214418808393,0.012919462,10.937795,1.5902691,13.461508,13.991082,12.784994
5331479793725731712,133.19667799927066,-44.915300516508935,3.2481740244355195,0.41115007,-5.106960296713053,0.42195022,8.092154958828623,0.48249492,,,19.373281,20.364323,17.983494
5331481924029800448,133.26541709656235,-44.81684410041657,3.7433009658636704,0.050388783,-9.663449006804253,0.059058435,-1.0670245388092918,0.05710602,,,16.979244,18.309542,15.853687
5331537900345514368,132.8234458493653,-44.556195621517446,3.3766596292250504,0.06903747,-5.274386933063215,0.07634445,-5.899359923582695,0.0840845,,,17.612879,19.066935,16.44324
5331556832556694016,132.83536879927294,-44.30449293721106,3.2065680799471594,0.54270995,-10.175417497696698,0.5403432,4.9341744802653515,0.6759206,,,19.961746,20.747263,18.260159
5331594177292960768,133.9691785969198,-44.50059439758243,3.658543501170259,0.11167641,-8.770352569132973,0.11162496,1.3574394046996832,0.14175247,,,18.065702,19.598717,16.84568
5515289451810095872,127.34523887648893,-48.65852698453912,3.3671805824125496,0.08611986,7.927964583522935,0.10092634,0.2528588232811107,0.114920296,,,17.831802,19.334,16.629992
5515325185938696960,126.42352893408646,-48.64479416130406,3.4495596910695325,0.15614422,-7.0832810896092555,0.1747876,8.128663564461158,0.17614648,23.863918,5.892269,15.230723,16.304876,14.137002
5515344049435832064,126.67321724655073,-48.67192051207957,3.7741227201241325,0.6760264,16.529418667892298,0.9360645,-2.8123191270818206,0.76689285,,,19.613024,20.656681,18.026352
5515370777006324736,127.92778790338343,-48.671442251640265,3.7627209165722135,0.11142948,-22.78929547424928,0.12027453,22.64362174956476,0.13109402,,,18.394432,20.10811,17.16233
5515462246942353920,127.53184677154351,-47.89735820828184,3.319041492145569,0.41246676,8.009409557226926,0.5013532,11.386239002293834,0.5477452,,,20.14932,21.75145,18.81327
5515474650804516352,127.86269690850642,-47.814643427767585,3.4033510908433304,0.062655866,26.864743115401865,0.078148,31.529866948064097,0.09362083,,,16.115143,16.757957,14.426522
5515537322963964160,126.16351495432635,-48.15586487639148,3.6396423387899732,0.011609216,-25.330189205692825,0.012260054,16.80554983091116,0.013554289,21.71002,2.2444828,13.42436,13.954408,12.746819
5515539934305278080,126.59477442853334,-48.37117168992087,3.3532707413725915,0.15883788,-11.91510177099013,0.17175774,2.677290735890756,0.168951,18.148392,5.1572146,14.622028,15.53706,13.525425
5515551341738214400,126.74860985662295,-48.13249087800006,3.6543566666953673,0.014657764,-13.034087968302487,0.01692782,27.780552520430213,0.014868046,44.247597,1.9175062,13.823608,14.445393,13.075356
5515584391503744640,126.09766652349396,-48.14391193391287,3.590324311258455,0.25787538,-18.089751613455046,0.2578877,-74.29059257326264,0.32789743,,,19.349144,20.811514,18.131474
5515608069667826176,126.12636308894774,-48.09360057040494,3.670296736714695,0.5417948,-5.9291608186379685,0.5796715,15.40150538730251,0.6248418,,,17.860746,18.112946,16.44327
5515613773384239104,126.09938750554053,-47.935323997606034,3.220471459974352,0.33185175,-15.057711513116228,0.37469938,10.431342293928257,0.41009778,,,15.6014805,15.959096,14.663056
5515630575296929024,125.97594975109088,-47.75830496625691,3.327854845827344,0.3937303,-2.4026636432164805,0.43734637,16.902825034106844,0.45554328,,,19.012728,19.641102,17.860407
5515650297788547712,127.09494558683231,-47.84108548326033,3.208755259778428,0.014715137,-25.880724483905627,0.01680403,61.76513350665197,0.016722366,42.6445,1.9846506,13.199443,13.648788,12.578702
5515654867633972864,127.38999818101975,-47.72920967910098,3.367418796117684,0.0093464395,-43.74443139686987,0.0100843115,13.900859520850474,0.010888712,13.466012,0.9289125,12.314483,12.682227,11.781848
5515756499431953792,127.06150511465565,-47.06197429512661,3.5487874924754252,0.26235184,-9.382921468171917,0.2650062,-0.7452253252450649,0.3942964,,,19.537848,21.255161,18.260586
5323146736845188608,128.3055379404776,-49.087027122234254,3.673768865800658,0.6700139,-1.583442115906222,0.724717,5.982248808443854,0.92071295,,,20.162985,20.61713,18.917435
5323225111407335424,128.33852423595297,-48.7525810438463,3.7665519958888165,0.060250908,-34.662616174599805,0.06675522,13.336771192765493,0.07659631,,,17.1508,18.595177,15.958609
5323253973582298752,128.49374472265896,-48.246761597132995,3.505601630665946,0.35436946,-10.417476639754351,0.4255316,-7.39535235560681,0.34913763,,,19.9051,21.694368,18.54523
5328631096538342016,132.5520893199758,-48.40226099051753,3.3258302096694443,0.36457464,-55.49883081947574,0.38612098,16.91076499707314,0.37219012,,,19.707884,21.453814,18.513088
5328667693955059328,133.05506170288731,-47.96540886177455,3.3180888824766894,0.49372715,-6.447155307738383,0.4350464,-9.910125145271888,1.1048894,,,19.933578,,
5328708027995673984,132.23524520357194,-47.78162336275375,3.6574221339564685,0.12171766,6.817067959198248,0.13297573,-18.838229297038765,0.1469109,,,18.435204,20.148865,17.155851
5328718507712851584,132.7412444901063,-47.85933077886837,3.247190365872495,0.11764435,39.44734649001383,0.122494996,-33.48808871136621,0.13585085,,,18.104368,19.42886,16.719622
5328769398792004736,133.21920160254857,-47.631865082001184,3.457724785600281,0.19175307,-5.89306223889586,0.21307711,13.935926350911053,0.22163199,27.987663,7.007949,15.304137,16.20881,14.280815
5328785547870702592,133.84543256899696,-47.48896605383514,3.5880601126944063,0.022022719,-58.97128699771771,0.02469504,47.70866242319356,0.027082305,58.859924,7.2088795,15.249463,16.17484,14.297291
5328816540347888896,133.13221055482745,-47.58036031974247,3.630056492450165,0.46870887,-18.480349398482854,0.47668338,31.21891624892538,0.5052046,,,20.110806,21.807539,18.793839
5328825645686181248,133.37766225895717,-47.35211243488227,3.2018021736351896,0.0717021,1.6556735249977659,0.079378285,-9.95553483574413,0.08999477,2.7767081,1.9554746,13.618494,14.113038,12.96168
5328862440660251648,133.57162432183173,-47.01307570572232,3.307499090258723,0.0731871,-4.270477568595923,0.08321107,-2.4674645433609594,0.08245104,,,17.617392,19.128822,16.43294
5328958029444584704,129.71217315332947,-49.13188321228827,3.4205492172908603,0.45729682,-25.624601177861518,0.541234,6.85293453134479,0.5397797,,,20.181793,20.379772,20.161186
5328985006141689216,129.8410568194977,-48.68167310291277,3.3253797324027063,0.32413405,-24.807842142662324,0.3771278,10.069758828000197,0.3447626,,,19.957794,21.203293,18.592499
5329027298681876864,131.0176850187232,-48.790916589254394,3.518756829744695,0.06644802,-33.18542240043994,0.0799547,17.61613400751917,0.078481264,,,17.410154,18.826923,16.260406
5329027543512177792,130.98585497526693,-48.774271669324165,3.3773936221924155,0.010713925,14.571445599406934,0.012352393,0.4131937520226553,0.012929211,-2.4337678,1.6412164,13.187887,13.638324,12.574208
